sum,term,name,pecentage,image,month
1000000,8,Московский Индустриальный Банк,"от 10,2%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a60fd.svg,15 280 ₽/мес
1000000,8,Промсвязьбанк,"от 6,35%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f769245bc22a520a62a5.svg,13 312 ₽/мес
1000000,8,МТС-Банк,"от 6,6%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a609f.svg,13 435 ₽/мес
1000000,8,ФК Открытие,"от 5,3%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f768245bc22a520a613f.svg,12 803 ₽/мес
1000000,7,Московский Индустриальный Банк,"от 10,2%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a60fd.svg,16 704 ₽/мес
1000000,7,Промсвязьбанк,"от 6,35%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f769245bc22a520a62a5.svg,14 776 ₽/мес
1000000,7,МТС-Банк,"от 6,6%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a609f.svg,14 897 ₽/мес
1000000,7,ФК Открытие,"от 5,3%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f768245bc22a520a613f.svg,14 275 ₽/мес
1000000,4,Московский Индустриальный Банк,"от 10,2%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a60fd.svg,25 458 ₽/мес
1000000,4,Промсвязьбанк,"от 6,35%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f769245bc22a520a62a5.svg,23 645 ₽/мес
1000000,4,МТС-Банк,"от 6,6%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a609f.svg,23 761 ₽/мес
1000000,4,ФК Открытие,"от 5,3%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f768245bc22a520a613f.svg,23 165 ₽/мес
1000000,3,Московский Индустриальный Банк,"от 10,2%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a60fd.svg,32 361 ₽/мес
1000000,3,Промсвязьбанк,"от 6,35%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f769245bc22a520a62a5.svg,30 580 ₽/мес
1000000,3,МТС-Банк,"от 6,6%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a609f.svg,30 694 ₽/мес
1000000,3,ФК Открытие,"от 5,3%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f768245bc22a520a613f.svg,30 105 ₽/мес
1000000,1,ПИК,от 1%,https://s91588.cdn.ngenix.net/organizations/logotypes/square/629e048035347e0024c5eeec.svg?v=0.9d,83 785 ₽/мес
