district,four_room,image,multiroom,name,one_room,room_types,studio,three_room,two_room
Одинцовский,12460000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5b6d66605aedc.jpeg,-1,ЖК «Инновация»,6004000,"studio,one_room,two_room,three_room,four_room",4717000,9554000,6249000
Мытищинский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/602aa68643319.jpg,-1,Апарт-отель «Dom Smile»,4190000,"studio,one_room,two_room,three_room",3800000,9360000,6995000
Одинцовский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5cf9165db2a02.jpg,-1,ЖК «Новая Рига»,4902000,"studio,one_room,two_room,three_room",3552000,9125000,7258000
Восточное Измайлово,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/635fd36231386.jpg,-1,ЖК «Измайловский лес»,6494000,"studio,one_room,two_room,three_room",4551000,13566000,6961000
Чертаново Южное,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6281f27127814.jpg,-1,ЖК «ParkSide»,12725000,"studio,one_room,two_room,three_room",8452000,27071000,18246000
Нижегородский,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/635be89d07619.jpg,-1,ЖК «Новохохловская 15»,9297000,"studio,one_room,two_room,three_room",6577000,15942000,12585000
Очаково-Матвеевское,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/62f22d6a8f165.jpg,-1,ЖК «ОМ»,12500000,"studio,one_room,two_room,three_room",9900000,19000000,14000000
Раменки,56500000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5e5e8780dac8c.jpg,66500000,ЖК «Legacy»,-1,"two_room,three_room,four_room,multiroom",-1,37000000,22512000
Дорогомилово,61166000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6290954639351.jpg,-1,"Апарт-отель «Поклонная, 7»",18120000,"studio,one_room,two_room,four_room",13675000,-1,23574000
Ленинский,9054000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/61af4efa15338.jpg,-1,ЖК «Пригород Лесное»,4993000,"studio,one_room,two_room,three_room,four_room",3455000,7485000,5098000
